episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
1,bfs_policy,pac,3658.0,342,0,0,1,1
2,bfs_policy,pac,3055.0,345,1,0,1,2
3,bfs_policy,pac,3258.0,342,0,0,1,3
4,bfs_policy,pac,3262.0,338,0,0,1,4
5,bfs_policy,pac,3466.0,334,0,0,1,5
6,bfs_policy,pac,3430.0,370,0,0,1,6
7,bfs_policy,pac,3252.0,348,0,0,1,7
8,bfs_policy,pac,3454.0,346,0,0,1,8
9,bfs_policy,pac,3257.0,343,3,0,1,9
10,bfs_policy,pac,2597.0,403,3,0,1,10
11,bfs_policy,pac,3270.0,330,0,0,1,11
12,bfs_policy,pac,3061.0,339,1,0,1,12
13,bfs_policy,pac,3073.0,327,2,0,1,13
14,bfs_policy,pac,2829.0,371,2,0,1,14
15,bfs_policy,pac,3653.0,347,0,0,1,15
16,bfs_policy,pac,2868.0,332,2,0,1,16
17,bfs_policy,pac,3001.0,399,1,0,1,17
18,bfs_policy,pac,3483.0,317,0,0,1,18
19,bfs_policy,pac,3257.0,343,1,0,1,19
20,bfs_policy,pac,3262.0,338,0,0,1,20
21,bfs_policy,pac,2666.0,334,3,0,1,21
22,bfs_policy,pac,2863.0,337,2,0,1,22
23,bfs_policy,pac,1049.0,251,4,46,0,23
24,bfs_policy,pac,3015.0,385,2,0,1,24
25,bfs_policy,pac,3270.0,330,0,0,1,25
26,bfs_policy,pac,3666.0,334,0,0,1,26
27,bfs_policy,pac,3464.0,336,0,0,1,27
28,bfs_policy,pac,3057.0,343,2,0,1,28
29,bfs_policy,pac,3064.0,336,1,0,1,29
30,bfs_policy,pac,3450.0,350,0,0,1,30
31,bfs_policy,pac,3273.0,327,2,0,1,31
32,bfs_policy,pac,3602.0,398,0,0,1,32
33,bfs_policy,pac,3178.0,422,0,0,1,33
34,bfs_policy,pac,3056.0,344,1,0,1,34
35,bfs_policy,pac,3282.0,318,0,0,1,35
36,bfs_policy,pac,3202.0,398,1,0,1,36
37,bfs_policy,pac,3003.0,397,1,0,1,37
38,bfs_policy,pac,3255.0,345,1,0,1,38
39,bfs_policy,pac,3248.0,352,0,0,1,39
40,bfs_policy,pac,3420.0,380,0,0,1,40
41,bfs_policy,pac,2842.0,358,3,0,1,41
42,bfs_policy,pac,2854.0,346,2,0,1,42
43,bfs_policy,pac,2821.0,379,2,0,1,43
44,bfs_policy,pac,3245.0,355,1,0,1,44
45,bfs_policy,pac,2649.0,351,3,0,1,45
46,bfs_policy,pac,3680.0,320,0,0,1,46
47,bfs_policy,pac,2865.0,335,2,0,1,47
48,bfs_policy,pac,3029.0,371,2,0,1,48
49,bfs_policy,pac,2869.0,331,2,0,1,49
50,bfs_policy,pac,2878.0,322,2,0,1,50
51,bfs_policy,pac,3264.0,336,0,0,1,51
52,bfs_policy,pac,3230.0,370,0,0,1,52
53,bfs_policy,pac,3246.0,354,0,0,1,53
54,bfs_policy,pac,3032.0,368,1,0,1,54
55,bfs_policy,pac,3046.0,354,2,0,1,55
56,bfs_policy,pac,3262.0,338,0,0,1,56
57,bfs_policy,pac,3288.0,312,0,0,1,57
58,bfs_policy,pac,3821.0,379,0,0,1,58
59,bfs_policy,pac,3462.0,338,0,0,1,59
60,bfs_policy,pac,2873.0,327,3,0,1,60
61,bfs_policy,pac,3266.0,334,1,0,1,61
62,bfs_policy,pac,815.0,205,4,66,0,62
63,bfs_policy,pac,3268.0,332,1,0,1,63
64,bfs_policy,pac,3063.0,337,2,0,1,64
65,bfs_policy,pac,3238.0,362,0,0,1,65
66,bfs_policy,pac,3266.0,334,0,0,1,66
67,bfs_policy,pac,3270.0,330,0,0,1,67
68,bfs_policy,pac,2868.0,332,2,0,1,68
69,bfs_policy,pac,2823.0,377,2,0,1,69
70,bfs_policy,pac,2826.0,374,2,0,1,70
71,bfs_policy,pac,3058.0,342,2,0,1,71
72,bfs_policy,pac,3264.0,336,0,0,1,72
73,bfs_policy,pac,3254.0,346,0,0,1,73
74,bfs_policy,pac,2834.0,366,3,0,1,74
75,bfs_policy,pac,3420.0,380,0,0,1,75
76,bfs_policy,pac,3662.0,338,0,0,1,76
77,bfs_policy,pac,3252.0,348,0,0,1,77
78,bfs_policy,pac,3247.0,353,1,0,1,78
79,bfs_policy,pac,3045.0,355,1,0,1,79
80,bfs_policy,pac,1195.0,295,4,27,0,80
81,bfs_policy,pac,3234.0,366,0,0,1,81
82,bfs_policy,pac,3221.0,379,1,0,1,82
83,bfs_policy,pac,3071.0,329,1,0,1,83
84,bfs_policy,pac,3234.0,366,0,0,1,84
85,bfs_policy,pac,2649.0,351,3,0,1,85
86,bfs_policy,pac,3254.0,346,2,0,1,86
87,bfs_policy,pac,3279.0,321,0,0,1,87
88,bfs_policy,pac,3250.0,350,1,0,1,88
89,bfs_policy,pac,3064.0,336,1,0,1,89
90,bfs_policy,pac,3258.0,342,0,0,1,90
91,bfs_policy,pac,3264.0,336,1,0,1,91
92,bfs_policy,pac,3432.0,368,0,0,1,92
