episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
1,greedy_policy,pac,1670.0,500,1,43,0,1
2,greedy_policy,pac,740.0,500,0,128,0,2
3,greedy_policy,pac,340.0,500,0,164,0,3
4,greedy_policy,pac,1230.0,500,0,75,0,4
5,greedy_policy,pac,780.0,500,0,124,0,5
6,greedy_policy,pac,450.0,500,0,173,0,6
7,greedy_policy,pac,900.0,500,0,112,0,7
8,greedy_policy,pac,340.0,500,0,160,0,8
9,greedy_policy,pac,760.0,500,1,122,0,9
10,greedy_policy,pac,440.0,500,0,174,0,10
11,greedy_policy,pac,1180.0,500,0,80,0,11
12,greedy_policy,pac,310.0,500,1,147,0,12
13,greedy_policy,pac,1490.0,500,0,57,0,13
14,greedy_policy,pac,650.0,500,0,153,0,14
15,greedy_policy,pac,1120.0,500,0,130,0,15
16,greedy_policy,pac,1100.0,500,0,112,0,16
17,greedy_policy,pac,1110.0,500,0,131,0,17
18,greedy_policy,pac,1460.0,500,0,96,0,18
19,greedy_policy,pac,1070.0,500,0,95,0,19
20,greedy_policy,pac,800.0,500,0,118,0,20
21,greedy_policy,pac,1340.0,500,0,88,0,21
22,greedy_policy,pac,1440.0,500,0,62,0,22
23,greedy_policy,pac,1480.0,500,0,94,0,23
24,greedy_policy,pac,1370.0,500,0,105,0,24
25,greedy_policy,pac,170.0,500,1,161,0,25
26,greedy_policy,pac,840.0,500,0,118,0,26
27,greedy_policy,pac,-40.0,500,0,198,0,27
28,greedy_policy,pac,210.0,500,0,173,0,28
29,greedy_policy,pac,330.0,500,0,165,0,29
30,greedy_policy,pac,1070.0,500,0,95,0,30
31,greedy_policy,pac,1020.0,500,0,120,0,31
32,greedy_policy,pac,750.0,500,0,123,0,32
33,greedy_policy,pac,630.0,500,0,139,0,33
34,greedy_policy,pac,210.0,500,1,157,0,34
35,greedy_policy,pac,540.0,500,1,120,0,35
36,greedy_policy,pac,1060.0,500,0,96,0,36
37,greedy_policy,pac,920.0,500,0,110,0,37
38,greedy_policy,pac,1390.0,500,0,67,0,38
39,greedy_policy,pac,360.0,500,0,162,0,39
40,greedy_policy,pac,500.0,500,0,168,0,40
41,greedy_policy,pac,820.0,500,0,156,0,41
42,greedy_policy,pac,840.0,500,0,138,0,42
43,greedy_policy,pac,820.0,500,1,120,0,43
44,greedy_policy,pac,490.0,500,0,169,0,44
45,greedy_policy,pac,1410.0,500,0,85,0,45
46,greedy_policy,pac,590.0,500,0,159,0,46
47,greedy_policy,pac,790.0,500,0,123,0,47
48,greedy_policy,pac,1060.0,500,0,96,0,48
