episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
1,mdp_policy,pac,2859.0,341,3,0,1,1
2,mdp_policy,pac,3225.0,375,1,0,1,2
3,mdp_policy,pac,2646.0,354,3,0,1,3
4,mdp_policy,pac,3269.0,331,1,0,1,4
5,mdp_policy,pac,3031.0,369,1,0,1,5
6,mdp_policy,pac,3030.0,370,2,0,1,6
7,mdp_policy,pac,1650.0,500,2,1,0,7
8,mdp_policy,pac,3377.0,423,1,0,1,8
9,mdp_policy,pac,3605.0,395,1,0,1,9
10,mdp_policy,pac,3042.0,358,2,0,1,10
11,mdp_policy,pac,3261.0,339,0,0,1,11
12,mdp_policy,pac,4042.0,358,0,0,1,12
13,mdp_policy,pac,3217.0,383,0,0,1,13
14,mdp_policy,pac,1340.0,310,4,31,0,14
15,mdp_policy,pac,3432.0,368,0,0,1,15
16,mdp_policy,pac,3235.0,365,1,0,1,16
17,mdp_policy,pac,3477.0,323,2,0,1,17
18,mdp_policy,pac,3238.0,362,0,0,1,18
19,mdp_policy,pac,3020.0,380,1,0,1,19
20,mdp_policy,pac,2816.0,384,3,0,1,20
21,mdp_policy,pac,3203.0,397,0,0,1,21
22,mdp_policy,pac,3056.0,344,2,0,1,22
23,mdp_policy,pac,3628.0,372,0,0,1,23
24,mdp_policy,pac,3423.0,377,1,0,1,24
25,mdp_policy,pac,3420.0,380,0,0,1,25
26,mdp_policy,pac,3429.0,371,0,0,1,26
27,mdp_policy,pac,3002.0,398,2,0,1,27
28,mdp_policy,pac,612.0,188,4,92,0,28
29,mdp_policy,pac,3223.0,377,3,0,1,29
30,mdp_policy,pac,3146.0,454,0,0,1,30
31,mdp_policy,pac,2864.0,336,2,0,1,31
32,mdp_policy,pac,2992.0,408,3,0,1,32
33,mdp_policy,pac,2819.0,381,2,0,1,33
34,mdp_policy,pac,2837.0,363,2,0,1,34
35,mdp_policy,pac,3666.0,334,0,0,1,35
36,mdp_policy,pac,3242.0,358,0,0,1,36
37,mdp_policy,pac,2050.0,500,0,1,0,37
38,mdp_policy,pac,3208.0,392,2,0,1,38
39,mdp_policy,pac,3253.0,347,0,0,1,39
40,mdp_policy,pac,3231.0,369,2,0,1,40
41,mdp_policy,pac,3664.0,336,0,0,1,41
42,mdp_policy,pac,3047.0,353,1,0,1,42
43,mdp_policy,pac,3433.0,367,0,0,1,43
44,mdp_policy,pac,2833.0,367,2,0,1,44
45,mdp_policy,pac,3062.0,338,2,0,1,45
46,mdp_policy,pac,3214.0,386,1,0,1,46
47,mdp_policy,pac,3025.0,375,2,0,1,47
48,mdp_policy,pac,2625.0,375,3,0,1,48
49,mdp_policy,pac,2849.0,351,2,0,1,49
50,mdp_policy,pac,3401.0,399,0,0,1,50
51,mdp_policy,pac,3228.0,372,0,0,1,51
52,mdp_policy,pac,3658.0,342,1,0,1,52
53,mdp_policy,pac,2260.0,500,0,4,0,53
54,mdp_policy,pac,3376.0,424,0,0,1,54
55,mdp_policy,pac,3627.0,373,0,0,1,55
56,mdp_policy,pac,3032.0,368,2,0,1,56
57,mdp_policy,pac,3264.0,336,0,0,1,57
58,mdp_policy,pac,1356.0,294,4,31,0,58
59,mdp_policy,pac,2818.0,382,3,0,1,59
60,mdp_policy,pac,3613.0,387,0,0,1,60
61,mdp_policy,pac,3468.0,332,0,0,1,61
62,mdp_policy,pac,3677.0,323,0,0,1,62
63,mdp_policy,pac,3056.0,344,1,0,1,63
64,mdp_policy,pac,3271.0,329,0,0,1,64
65,mdp_policy,pac,3242.0,358,0,0,1,65
66,mdp_policy,pac,3236.0,364,0,0,1,66
67,mdp_policy,pac,1553.0,387,4,6,0,67
68,mdp_policy,pac,3029.0,371,1,0,1,68
69,mdp_policy,pac,1320.0,360,4,8,0,69
70,mdp_policy,pac,3647.0,353,0,0,1,70
71,mdp_policy,pac,3461.0,339,0,0,1,71
72,mdp_policy,pac,3664.0,336,0,0,1,72
73,mdp_policy,pac,3651.0,349,0,0,1,73
74,mdp_policy,pac,3439.0,361,1,0,1,74
75,mdp_policy,pac,2806.0,394,2,0,1,75
76,mdp_policy,pac,3279.0,321,1,0,1,76
77,mdp_policy,pac,3446.0,354,0,0,1,77
78,mdp_policy,pac,3285.0,315,0,0,1,78
79,mdp_policy,pac,2610.0,390,3,0,1,79
80,mdp_policy,pac,3398.0,402,1,0,1,80
81,mdp_policy,pac,3245.0,355,0,0,1,81
82,mdp_policy,pac,3411.0,389,0,0,1,82
83,mdp_policy,pac,3045.0,355,1,0,1,83
84,mdp_policy,pac,3173.0,427,1,0,1,84
85,mdp_policy,pac,3573.0,427,0,0,1,85
86,mdp_policy,pac,1209.0,341,4,17,0,86
87,mdp_policy,pac,2828.0,372,3,0,1,87
88,mdp_policy,pac,3238.0,362,0,0,1,88
89,mdp_policy,pac,3228.0,372,0,0,1,89
90,mdp_policy,pac,2640.0,360,3,0,1,90
91,mdp_policy,pac,3260.0,340,0,0,1,91
92,mdp_policy,pac,2060.0,500,1,4,0,92
93,mdp_policy,pac,2815.0,385,3,0,1,93
94,mdp_policy,pac,1262.0,348,4,15,0,94
95,mdp_policy,pac,3226.0,374,2,0,1,95
96,mdp_policy,pac,2818.0,382,3,0,1,96
97,mdp_policy,pac,2658.0,342,3,0,1,97
98,mdp_policy,pac,3240.0,360,0,0,1,98
99,mdp_policy,pac,1450.0,500,3,1,0,99
100,mdp_policy,pac,2617.0,383,3,0,1,100
101,mdp_policy,pac,3248.0,352,1,0,1,101
102,mdp_policy,pac,2875.0,325,2,0,1,102
103,mdp_policy,pac,3648.0,352,1,0,1,103
104,mdp_policy,pac,3441.0,359,0,0,1,104
105,mdp_policy,pac,3037.0,363,1,0,1,105
106,mdp_policy,pac,3223.0,377,0,0,1,106
107,mdp_policy,pac,2828.0,372,2,0,1,107
108,mdp_policy,pac,3240.0,360,0,0,1,108
109,mdp_policy,pac,3224.0,376,2,0,1,109
110,mdp_policy,pac,3852.0,348,0,0,1,110
111,mdp_policy,pac,2857.0,343,2,0,1,111
112,mdp_policy,pac,3261.0,339,1,0,1,112
113,mdp_policy,pac,3047.0,353,1,0,1,113
114,mdp_policy,pac,2855.0,345,2,0,1,114
115,mdp_policy,pac,3399.0,401,0,0,1,115
116,mdp_policy,pac,3254.0,346,0,0,1,116
117,mdp_policy,pac,3043.0,357,2,0,1,117
118,mdp_policy,pac,2974.0,426,3,0,1,118
119,mdp_policy,pac,3236.0,364,0,0,1,119
120,mdp_policy,pac,3400.0,400,0,0,1,120
121,mdp_policy,pac,2827.0,373,2,0,1,121
122,mdp_policy,pac,3660.0,340,0,0,1,122
123,mdp_policy,pac,3043.0,357,2,0,1,123
124,mdp_policy,pac,3250.0,350,2,0,1,124
125,mdp_policy,pac,3606.0,394,0,0,1,125
126,mdp_policy,pac,1238.0,322,4,20,0,126
127,mdp_policy,pac,3635.0,365,0,0,1,127
128,mdp_policy,pac,3662.0,338,0,0,1,128
129,mdp_policy,pac,3029.0,371,1,0,1,129
130,mdp_policy,pac,3085.0,315,1,0,1,130
131,mdp_policy,pac,3170.0,430,2,0,1,131
132,mdp_policy,pac,1407.0,373,4,2,0,132
133,mdp_policy,pac,3430.0,370,0,0,1,133
134,mdp_policy,pac,2711.0,489,3,0,1,134
135,mdp_policy,pac,2606.0,394,3,0,1,135
136,mdp_policy,pac,3616.0,384,0,0,1,136
137,mdp_policy,pac,2640.0,360,3,0,1,137
138,mdp_policy,pac,3008.0,392,1,0,1,138
139,mdp_policy,pac,3055.0,345,2,0,1,139
140,mdp_policy,pac,2820.0,380,3,0,1,140
141,mdp_policy,pac,812.0,238,4,67,0,141
142,mdp_policy,pac,3457.0,343,0,0,1,142
143,mdp_policy,pac,1601.0,369,4,3,0,143
144,mdp_policy,pac,3857.0,343,0,0,1,144
145,mdp_policy,pac,3205.0,395,1,0,1,145
146,mdp_policy,pac,2050.0,500,1,1,0,146
147,mdp_policy,pac,3249.0,351,0,0,1,147
148,mdp_policy,pac,2230.0,500,0,7,0,148
149,mdp_policy,pac,3605.0,395,1,0,1,149
150,mdp_policy,pac,3258.0,342,0,0,1,150
151,mdp_policy,pac,3054.0,346,2,0,1,151
152,mdp_policy,pac,3653.0,347,0,0,1,152
153,mdp_policy,pac,3423.0,377,1,0,1,153
154,mdp_policy,pac,3416.0,384,0,0,1,154
155,mdp_policy,pac,3056.0,344,1,0,1,155
156,mdp_policy,pac,3071.0,329,1,0,1,156
157,mdp_policy,pac,2820.0,380,2,0,1,157
158,mdp_policy,pac,2807.0,393,3,0,1,158
159,mdp_policy,pac,2620.0,380,3,0,1,159
160,mdp_policy,pac,3426.0,374,1,0,1,160
161,mdp_policy,pac,2832.0,368,3,0,1,161
162,mdp_policy,pac,3192.0,408,2,0,1,162
163,mdp_policy,pac,3462.0,338,0,0,1,163
164,mdp_policy,pac,4053.0,347,0,0,1,164
165,mdp_policy,pac,3226.0,374,1,0,1,165
166,mdp_policy,pac,3218.0,382,0,0,1,166
167,mdp_policy,pac,3252.0,348,0,0,1,167
168,mdp_policy,pac,3248.0,352,0,0,1,168
169,mdp_policy,pac,3614.0,386,0,0,1,169
170,mdp_policy,pac,3016.0,384,2,0,1,170
171,mdp_policy,pac,3469.0,331,1,0,1,171
172,mdp_policy,pac,3462.0,338,0,0,1,172
173,mdp_policy,pac,2814.0,386,2,0,1,173
174,mdp_policy,pac,3440.0,360,0,0,1,174
175,mdp_policy,pac,3551.0,449,0,0,1,175
176,mdp_policy,pac,3638.0,362,0,0,1,176
177,mdp_policy,pac,3432.0,368,0,0,1,177
178,mdp_policy,pac,3270.0,330,0,0,1,178
179,mdp_policy,pac,3433.0,367,0,0,1,179
180,mdp_policy,pac,1479.0,381,4,10,0,180
181,mdp_policy,pac,3217.0,383,0,0,1,181
182,mdp_policy,pac,3232.0,368,2,0,1,182
183,mdp_policy,pac,3216.0,384,1,0,1,183
184,mdp_policy,pac,3147.0,453,0,0,1,184
185,mdp_policy,pac,2848.0,352,2,0,1,185
186,mdp_policy,pac,3649.0,351,0,0,1,186
187,mdp_policy,pac,1486.0,364,4,11,0,187
188,mdp_policy,pac,3066.0,334,1,0,1,188
189,mdp_policy,pac,3452.0,348,0,0,1,189
190,mdp_policy,pac,3254.0,346,0,0,1,190
191,mdp_policy,pac,3036.0,364,2,0,1,191
192,mdp_policy,pac,1397.0,423,4,18,0,192
193,mdp_policy,pac,3426.0,374,0,0,1,193
194,mdp_policy,pac,3471.0,329,0,0,1,194
195,mdp_policy,pac,1395.0,325,4,8,0,195
196,mdp_policy,pac,3629.0,371,0,0,1,196
197,mdp_policy,pac,2953.0,447,3,0,1,197
198,mdp_policy,pac,3250.0,350,0,0,1,198
199,mdp_policy,pac,3430.0,370,0,0,1,199
200,mdp_policy,pac,1030.0,260,4,43,0,200
201,mdp_policy,pac,3057.0,343,1,0,1,201
202,mdp_policy,pac,2822.0,378,2,0,1,202
203,mdp_policy,pac,3229.0,371,1,0,1,203
204,mdp_policy,pac,2842.0,358,2,0,1,204
205,mdp_policy,pac,3267.0,333,2,0,1,205
206,mdp_policy,pac,3465.0,335,1,0,1,206
207,mdp_policy,pac,3040.0,360,2,0,1,207
208,mdp_policy,pac,1534.0,426,4,4,0,208
209,mdp_policy,pac,3060.0,340,2,0,1,209
210,mdp_policy,pac,2609.0,391,3,0,1,210
211,mdp_policy,pac,1572.0,358,4,7,0,211
212,mdp_policy,pac,2502.0,498,3,0,1,212
213,mdp_policy,pac,3446.0,354,1,0,1,213
214,mdp_policy,pac,3037.0,363,2,0,1,214
215,mdp_policy,pac,1118.0,292,4,31,0,215
216,mdp_policy,pac,3429.0,371,0,0,1,216
217,mdp_policy,pac,3254.0,346,1,0,1,217
218,mdp_policy,pac,3270.0,330,1,0,1,218
