episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
1,random_policy,pac,20.0,500,1,176,0,1
2,random_policy,pac,330.0,500,0,185,0,2
3,random_policy,pac,-330.0,500,2,191,0,3
4,random_policy,pac,-70.0,500,1,185,0,4
5,random_policy,pac,-370.0,500,2,191,0,5
6,random_policy,pac,-110.0,500,1,189,0,6
7,random_policy,pac,-563.0,383,4,182,0,7
8,random_policy,pac,-460.0,500,3,184,0,8
9,random_policy,pac,-540.0,500,3,188,0,9
10,random_policy,pac,-675.0,455,4,186,0,10
11,random_policy,pac,160.0,500,0,182,0,11
12,random_policy,pac,-775.0,465,4,199,0,12
13,random_policy,pac,-150.0,500,0,209,0,13
14,random_policy,pac,-685.0,435,4,189,0,14
15,random_policy,pac,-390.0,500,2,193,0,15
16,random_policy,pac,-60.0,500,0,200,0,16
17,random_policy,pac,320.0,500,0,186,0,17
18,random_policy,pac,-643.0,453,4,183,0,18
19,random_policy,pac,-660.0,500,3,200,0,19
20,random_policy,pac,-702.0,212,4,213,0,20
21,random_policy,pac,-650.0,500,2,219,0,21
22,random_policy,pac,-470.0,500,3,185,0,22
23,random_policy,pac,-160.0,500,1,190,0,23
24,random_policy,pac,-220.0,500,2,180,0,24
25,random_policy,pac,-410.0,500,2,195,0,25
26,random_policy,pac,-550.0,310,4,188,0,26
27,random_policy,pac,-828.0,488,4,198,0,27
28,random_policy,pac,380.0,500,0,180,0,28
29,random_policy,pac,-892.0,452,4,208,0,29
30,random_policy,pac,-627.0,477,4,179,0,30
31,random_policy,pac,220.0,500,0,176,0,31
32,random_policy,pac,-170.0,500,1,191,0,32
33,random_policy,pac,-460.0,500,2,200,0,33
34,random_policy,pac,-100.0,500,2,164,0,34
35,random_policy,pac,-738.0,378,4,200,0,35
36,random_policy,pac,-240.0,500,2,178,0,36
37,random_policy,pac,-590.0,500,3,193,0,37
38,random_policy,pac,30.0,500,0,191,0,38
39,random_policy,pac,-490.0,500,3,183,0,39
40,random_policy,pac,-550.0,500,3,189,0,40
41,random_policy,pac,190.0,500,1,179,0,41
42,random_policy,pac,-100.0,500,0,204,0,42
43,random_policy,pac,-708.0,388,4,196,0,43
44,random_policy,pac,-510.0,500,2,205,0,44
45,random_policy,pac,-681.0,331,4,203,0,45
46,random_policy,pac,-390.0,500,2,193,0,46
47,random_policy,pac,-240.0,500,2,178,0,47
48,random_policy,pac,20.0,500,1,176,0,48
49,random_policy,pac,-10.0,500,1,175,0,49
50,random_policy,pac,-350.0,500,2,189,0,50
51,random_policy,pac,-300.0,500,2,184,0,51
52,random_policy,pac,-220.0,500,1,200,0,52
53,random_policy,pac,-659.0,479,4,182,0,53
54,random_policy,pac,-130.0,500,1,187,0,54
55,random_policy,pac,70.0,500,0,187,0,55
56,random_policy,pac,410.0,500,0,177,0,56
57,random_policy,pac,-790.0,370,4,206,0,57
58,random_policy,pac,-350.0,500,2,189,0,58
59,random_policy,pac,230.0,500,0,171,0,59
