episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
1,smart_bfs_policy,pac,3230.0,370,0,0,1,1
2,smart_bfs_policy,pac,3204.0,396,0,0,1,2
3,smart_bfs_policy,pac,3217.0,383,0,0,1,3
4,smart_bfs_policy,pac,3230.0,370,0,0,1,4
5,smart_bfs_policy,pac,1378.0,392,4,3,0,5
6,smart_bfs_policy,pac,3229.0,371,0,0,1,6
7,smart_bfs_policy,pac,2720.0,480,3,0,1,7
8,smart_bfs_policy,pac,3434.0,366,0,0,1,8
9,smart_bfs_policy,pac,3025.0,375,1,0,1,9
10,smart_bfs_policy,pac,3426.0,374,0,0,1,10
11,smart_bfs_policy,pac,1820.0,370,4,1,0,11
12,smart_bfs_policy,pac,3216.0,384,0,0,1,12
13,smart_bfs_policy,pac,3224.0,376,0,0,1,13
14,smart_bfs_policy,pac,3217.0,383,0,0,1,14
15,smart_bfs_policy,pac,3233.0,367,0,0,1,15
16,smart_bfs_policy,pac,2554.0,446,3,0,1,16
17,smart_bfs_policy,pac,3368.0,432,0,0,1,17
18,smart_bfs_policy,pac,3330.0,470,0,0,1,18
19,smart_bfs_policy,pac,3007.0,393,1,0,1,19
20,smart_bfs_policy,pac,3233.0,367,0,0,1,20
21,smart_bfs_policy,pac,3169.0,431,0,0,1,21
22,smart_bfs_policy,pac,2844.0,356,2,0,1,22
23,smart_bfs_policy,pac,3045.0,355,1,0,1,23
24,smart_bfs_policy,pac,2611.0,389,3,0,1,24
25,smart_bfs_policy,pac,2787.0,413,2,0,1,25
26,smart_bfs_policy,pac,3453.0,347,0,0,1,26
27,smart_bfs_policy,pac,2748.0,452,2,0,1,27
28,smart_bfs_policy,pac,3377.0,423,0,0,1,28
29,smart_bfs_policy,pac,3425.0,375,0,0,1,29
30,smart_bfs_policy,pac,3237.0,363,0,0,1,30
31,smart_bfs_policy,pac,3238.0,362,0,0,1,31
32,smart_bfs_policy,pac,3387.0,413,0,0,1,32
33,smart_bfs_policy,pac,3187.0,413,0,0,1,33
34,smart_bfs_policy,pac,3033.0,367,1,0,1,34
35,smart_bfs_policy,pac,3250.0,350,0,0,1,35
36,smart_bfs_policy,pac,3454.0,346,0,0,1,36
37,smart_bfs_policy,pac,1248.0,462,4,9,0,37
